
STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;20240517;   10;  12.9;   3.6;    9;   0.0;   0;    5.600;   0;   6.4;  11.0;  998.40;   19.8;   49.00;   25.5;   14.1;    9.5;eor
       3126;20240518;   10;   5.1;   1.5;    9;   0.0;   6;    0.200;   0;   7.2;  12.3; 1000.00;   15.8;   69.00;   19.2;   11.9;    7.2;eor
       3126;20240519;   10;   6.8;   1.4;    9;   1.6;   6;    3.800;   0;   6.0;  13.8;  999.30;   15.3;   80.00;   20.4;    9.6;    6.1;eor
       3126;20240520;   10;   5.6;   1.3;    9;   0.0;   6;    4.700;   0;   5.0;  14.0; 1001.20;   17.0;   75.00;   23.4;   11.6;    8.2;eor
       3126;20240521;   10;  11.6;   2.9;    9;   7.2;   6;    6.400;   0;   5.1;  14.8;  998.90;   19.9;   67.00;   27.0;   10.4;    6.9;eor
       3126;20240522;   10;   9.3;   2.3;    9;   2.2;   6;    0.000;   0;   7.7;  16.9;  998.00;   16.3;   91.00;   18.1;   15.1;   14.4;eor
       3126;20240523;   10;   8.5;   2.5;    9;   0.0;   0;   13.100;   0;   2.3;  13.9; 1004.50;   17.8;   71.00;   23.4;   12.5;    9.4;eor
       3126;20240524;   10;  10.9;   2.1;    9;  11.0;   6;    6.000;   0;   5.6;  15.1; 1007.60;   17.8;   76.00;   25.8;   12.8;    9.6;eor
       3126;20240525;   10;   5.7;   1.5;    9;   0.0;   0;    6.500;   0;   6.2;  15.9; 1007.00;   18.6;   76.00;   24.2;   14.8;   12.2;eor
       3126;20240526;   10;   7.9;   2.0;    9;   0.4;   6;   12.500;   0;   4.0;  15.6; 1007.20;   20.1;   69.00;   25.9;   13.3;   10.0;eor
       3126;20240527;   10;  12.3;   1.4;    9;  14.3;   6;    3.700;   0;   6.6;  16.3; 1006.20;   18.7;   76.00;   23.7;   15.1;   14.6;eor
       3126;20240528;   10;   8.5;   2.4;    9;   0.1;   6;    4.300;   0;   5.1;  13.6; 1006.70;   15.5;   78.00;   19.9;   10.8;    7.5;eor
       3126;20240529;   10;   9.6;   2.8;    9;   1.2;   6;    1.600;   0;   7.2;  14.0; 1001.70;   15.9;   78.00;   20.7;   10.3;    7.1;eor
       3126;20240530;   10;   6.8;   1.4;    9;  30.3;   6;    0.900;   0;   7.6;  16.0;  995.30;   15.7;   90.00;   19.8;   13.0;   11.4;eor
       3126;20240531;   10;   8.4;   2.3;    9;   0.0;   6;    3.000;   0;   7.1;  15.5;  997.90;   16.3;   84.00;   20.8;   13.4;   11.4;eor
       3126;20240601;   10;  17.6;   2.8;    9;  20.4;   6;    6.800;   0;   5.2;  17.6; 1001.40;   19.6;   79.00;   26.3;   15.4;   13.8;eor
       3126;20240602;   10;  11.2;   2.5;    9;   0.0;   0;    0.100;   0;   7.0;  16.1; 1006.90;   16.8;   83.00;   19.5;   13.4;   12.8;eor
       3126;20240603;   10;   8.1;   2.4;    9;   0.0;   0;    1.900;   0;   7.4;  11.5; 1007.70;   14.0;   72.00;   17.5;   12.3;   10.1;eor
       3126;20240604;   10;   6.3;   1.6;    9;   0.1;   6;    6.000;   0;   4.8;  12.8; 1003.70;   16.1;   71.00;   20.9;   12.4;    8.8;eor
       3126;20240605;   10;   9.6;   2.7;    9;   2.5;   6;    1.000;   0;   6.8;  14.3; 1001.20;   15.6;   81.00;   19.7;   11.8;    8.6;eor
       3126;20240606;   10;   7.1;   1.7;    9;   0.8;   6;   10.700;   0;   3.9;  11.2; 1006.60;   15.1;   68.00;   21.4;    7.6;    4.7;eor
       3126;20240607;   10;   6.3;   1.7;    9;   0.0;   0;    9.300;   0;   3.8;  11.2; 1007.50;   15.5;   67.00;   21.1;   10.3;    7.4;eor
       3126;20240608;   10;   9.0;   2.2;    9;   0.0;   0;   13.400;   0;   2.2;  12.2; 1000.90;   18.0;   62.00;   25.2;    9.4;    6.6;eor
       3126;20240609;   10;   8.2;   2.2;    9;   0.0;   0;   13.600;   0;   2.5;   9.8;  998.80;   15.2;   59.00;   20.6;    9.7;    6.8;eor
       3126;20240610;   10;   8.0;   2.0;    9;   2.1;   6;    5.700;   0;   5.6;  11.2;  996.40;   13.4;   74.00;   18.7;    8.7;    6.0;eor
       3126;20240611;   10;  15.3;   5.0;    9;   0.9;   6;    5.700;   0;   5.3;  10.1; 1001.30;   12.8;   69.00;   18.1;    8.7;    6.0;eor
       3126;20240612;   10;   9.7;   2.9;    9;   1.4;   6;    5.800;   0;   4.8;  10.3; 1007.00;   12.6;   71.00;   17.6;    8.4;    5.4;eor
       3126;20240613;   10;   8.7;   1.9;    9;   0.0;   0;   11.400;   0;   4.3;   9.5; 1007.30;   13.8;   63.00;   18.9;    7.5;    4.1;eor
       3126;20240614;   10;   9.9;   2.7;    9;   1.0;   6;    1.000;   0;   7.7;  12.3; 1001.30;   15.4;   69.00;   20.3;   11.0;    9.8;eor
       3126;20240615;   10;  12.6;   3.3;    9;   2.2;   6;    7.000;   0;   5.5;  12.9;  996.30;   16.7;   70.00;   21.8;   11.7;    7.9;eor
       3126;20240616;   10;   9.9;   3.0;    9;   0.0;   6;    9.400;   0;   6.2;  12.0;  999.30;   18.3;   59.00;   23.8;   11.0;    6.5;eor
